Female 15-24 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,difference
Afghanistan,29.60000038,29.39999962,29.39999962,29.0,29.0,28.89999962,28.89999962,28.89999962,28.89999962,29.10000038,29.5,29.60000038,27.89999962,29.60000038,26.60000038,28.70000076,28.5,-1.1000003800000009
Albania,34.0,33.40000153,33.5,33.70000076,33.79999924,33.40000153,33.59999847,33.40000153,33.09999847,32.79999924,32.5,32.29999924,31.89999962,31.5,31.0,30.70000076,31.0,-3.0
Algeria,14.0,13.5,13.69999981,13.60000038,12.69999981,13.10000038,13.60000038,13.60000038,13.5,13.10000038,14.19999981,15.0,16.10000038,18.89999962,20.29999924,21.89999962,22.70000076,8.700000760000002
Angola,64.0,64.30000305,63.70000076,64.19999695,63.59999847,63.59999847,63.29999924,63.29999924,63.20000076,63.0,62.79999924,62.90000153,62.70000076,62.70000076,62.70000076,62.70000076,62.59999847,-1.4000015299999973
Argentina,31.79999924,32.29999924,32.40000153,33.0,32.79999924,33.5,33.70000076,33.20000076,32.40000153,32.59999847,32.0,30.89999962,32.59999847,32.20000076,31.89999962,31.5,31.39999962,-0.3999996199999991
Armenia,17.39999962,17.70000076,15.80000019,15.10000038,15.39999962,17.10000038,16.79999924,17.79999924,17.29999924,17.89999962,18.60000038,19.10000038,19.10000038,18.39999962,18.60000038,18.10000038,19.39999962,2.0
Australia,55.70000076,54.5,54.09999847,57.0,59.5,59.29999924,57.70000076,58.70000076,59.79999924,61.09999847,60.59999847,60.29999924,61.09999847,61.5,62.5,63.0,63.29999924,7.5999984799999964
Austria,58.5,59.20000076,55.59999847,56.09999847,53.0,51.40000153,50.40000153,49.90000153,48.5,47.5,46.40000153,46.70000076,46.0,47.79999924,49.29999924,50.0,47.40000153,-11.099998470000003
Azerbaijan,33.70000076,34.5,34.29999924,33.09999847,31.89999962,32.29999924,33.0,33.20000076,33.20000076,33.5,33.5,33.29999924,33.70000076,34.90000153,33.09999847,31.70000076,35.5,1.7999992399999982
Bahamas,39.59999847,36.20000076,38.29999924,38.20000076,40.0,37.0,37.59999847,41.09999847,40.70000076,42.0,42.79999924,40.29999924,37.29999924,38.20000076,39.79999924,42.09999847,40.5,0.9000015299999973
Bahrain,15.5,15.60000038,15.60000038,15.80000019,16.0,16.29999924,16.10000038,16.89999962,17.70000076,18.20000076,18.60000038,18.39999962,18.20000076,17.89999962,17.70000076,17.29999924,17.60000038,2.100000380000001
Bangladesh,57.20000076,53.0,54.40000153,52.40000153,49.20000076,50.09999847,48.90000153,49.5,47.79999924,47.0,47.70000076,48.40000153,49.40000153,47.40000153,46.29999924,46.0,46.20000076,-11.0
Barbados,39.5,32.0,31.39999962,29.20000076,35.29999924,43.5,39.0,41.20000076,41.40000153,43.0,40.0,39.20000076,37.29999924,37.40000153,38.5,39.29999924,38.70000076,-0.7999992399999982
Belarus,39.20000076,38.59999847,37.90000153,37.20000076,36.29999924,35.90000153,35.59999847,34.09999847,32.5,32.29999924,32.0,31.79999924,31.79999924,31.60000038,31.29999924,30.89999962,31.39999962,-7.800001140000003
Belgium,29.10000038,29.79999924,25.79999924,24.79999924,23.89999962,22.60000038,22.0,22.89999962,23.5,26.60000038,24.60000038,25.10000038,23.29999924,25.5,25.29999924,23.10000038,23.5,-5.600000380000001
Belize,16.79999924,18.70000076,21.29999924,22.39999962,21.70000076,21.20000076,20.39999962,20.89999962,21.89999962,24.39999962,26.60000038,26.5,26.89999962,27.39999962,27.70000076,29.20000076,28.70000076,11.900001520000004
Benin,51.29999924,54.59999847,54.29999924,53.90000153,53.59999847,53.29999924,52.90000153,52.40000153,52.0,51.59999847,51.09999847,50.59999847,50.0,49.5,49.0,48.5,48.70000076,-2.5999984799999964
Bhutan,22.10000038,20.60000038,19.70000076,18.5,17.70000076,17.70000076,17.89999962,18.39999962,19.10000038,20.5,22.29999924,23.79999924,26.70000076,28.79999924,30.70000076,31.5,30.0,7.899999619999999
Bolivia,35.90000153,35.40000153,35.70000076,36.0,36.20000076,38.29999924,42.20000076,41.59999847,40.90000153,39.70000076,39.79999924,39.40000153,39.59999847,40.0,40.5,41.0,40.5,4.599998470000003
Bosnia and Herzegovina,23.79999924,22.0,19.89999962,19.5,20.10000038,19.79999924,18.5,18.10000038,17.29999924,16.60000038,17.10000038,16.20000076,16.5,14.80000019,15.60000038,12.19999981,12.5,-11.299999239999998
Botswana,29.0,25.79999924,22.10000038,17.70000076,18.0,18.5,24.5,31.20000076,30.79999924,30.39999962,18.70000076,22.29999924,20.70000076,18.89999962,17.0,23.0,23.5,-5.5
Brazil,37.79999924,45.09999847,44.90000153,44.90000153,44.79999924,42.29999924,41.59999847,39.70000076,40.20000076,40.0,39.70000076,40.90000153,39.90000153,41.90000153,41.5,42.40000153,42.90000153,5.100002289999999
Brunei,33.20000076,33.5,33.70000076,34.0,34.40000153,35.0,35.59999847,36.40000153,37.29999924,38.0,38.70000076,38.40000153,38.09999847,37.79999924,37.70000076,37.70000076,38.20000076,5.0
Bulgaria,31.10000038,36.40000153,29.60000038,28.5,29.10000038,28.20000076,25.70000076,24.20000076,20.89999962,18.20000076,21.60000038,20.60000038,20.5,21.0,20.89999962,23.0,22.20000076,-8.89999962
Burkina Faso,72.30000305,72.19999695,72.19999695,72.09999847,72.19999695,72.30000305,72.30000305,72.19999695,72.19999695,72.0,71.90000153,71.59999847,71.30000305,71.0,70.69999695,70.5,70.59999847,-1.700004579999998
Burundi,75.5,75.90000153,76.09999847,76.40000153,76.59999847,76.80000305,77.0,77.30000305,77.19999695,77.0,76.59999847,76.0,75.19999695,74.59999847,74.0,73.59999847,73.30000305,-2.199996949999999
Cambodia,70.80000305,70.0,70.0,69.59999847,67.40000153,65.09999847,65.30000305,67.90000153,68.69999695,69.59999847,71.5,72.09999847,72.69999695,73.30000305,72.80000305,71.30000305,73.0,2.199996949999999
Cameroon,30.5,30.20000076,30.0,29.60000038,29.39999962,30.20000076,29.89999962,29.5,29.20000076,29.0,28.60000038,28.29999924,28.10000038,27.89999962,27.60000038,27.29999924,27.39999962,-3.100000380000001
Canada,57.5,55.0,53.20000076,53.29999924,53.29999924,52.0,50.20000076,52.09999847,53.70000076,55.70000076,56.09999847,57.5,58.5,58.29999924,58.70000076,59.40000153,61.59999847,4.099998470000003
Cape Verde,42.29999924,42.0,41.5,40.79999924,40.0,39.0,37.90000153,36.79999924,35.79999924,34.90000153,33.90000153,33.0,32.20000076,31.5,31.0,30.5,30.29999924,-12.0
Central African Rep.,51.70000076,51.29999924,51.0,50.79999924,50.70000076,50.5,50.59999847,50.59999847,50.70000076,50.70000076,50.70000076,50.59999847,50.40000153,50.29999924,50.09999847,49.79999924,50.0,-1.7000007600000018
Chad,46.09999847,48.40000153,50.79999924,51.09999847,51.0,51.09999847,51.20000076,51.20000076,51.09999847,51.09999847,51.40000153,51.59999847,52.40000153,53.09999847,53.20000076,53.0,53.09999847,7.0
Chile,21.10000038,23.60000038,25.39999962,24.89999962,24.0,23.10000038,23.0,20.89999962,18.89999962,18.0,17.39999962,17.0,17.70000076,18.70000076,19.10000038,20.39999962,17.60000038,-3.5
China,74.0,74.19999695,73.5,72.69999695,71.69999695,70.80000305,69.80000305,68.5,67.40000153,66.30000305,65.0,63.70000076,62.59999847,61.40000153,60.59999847,60.09999847,60.40000153,-13.599998470000003
Colombia,27.10000038,27.0,28.60000038,27.10000038,27.29999924,26.5,26.10000038,28.0,30.5,30.70000076,32.09999847,31.39999962,33.0,33.90000153,36.0,34.79999924,38.09999847,10.999998090000002
Comoros,50.29999924,49.90000153,49.29999924,48.5,47.79999924,47.0,46.20000076,45.29999924,44.59999847,44.09999847,43.70000076,43.5,43.40000153,43.20000076,43.0,42.70000076,42.40000153,-7.899997710000001
"Congo, Rep.",38.29999924,37.79999924,37.40000153,36.90000153,37.40000153,37.0,36.20000076,35.70000076,35.5,35.40000153,35.40000153,35.29999924,35.09999847,35.20000076,35.20000076,35.20000076,34.90000153,-3.399997710000001
